ID,Current_Utilization_Rate,Minimum_Payment_Flag,Days_Since_Last_Payment_Proxy,Target_Delinquent_Next_Month
1,0.19565,1,2,1
2,0.02235,0,-1,1
3,0.32487777777777777,1,0,0
4,0.9398,1,0,0
5,0.17234,0,-1,0
6,1.288,1,0,0
7,0.73593,1,0,0
8,0.11876,1,0,0
9,0.08060714285714286,1,0,0
10,0.0,0,-2,0
11,0.055365,1,0,0
12,0.04715769230769231,0,-1,0
13,0.019265079365079363,0,-1,0
14,0.9400285714285714,1,1,1
15,0.283548,1,0,0
16,1.01228,1,1,0
17,0.7688,1,0,1
18,0.79151875,1,0,0
19,0.0,1,1,0
20,0.0,1,1,0
21,0.2950615384615385,1,0,0
22,0.0026333333333333334,0,-1,1
23,0.5869571428571428,1,2,1
24,0.012248888888888889,0,-2,1
25,0.05271111111111111,1,0,0
26,0.9524,1,0,0
27,0.0,1,1,1
28,0.45082,1,0,0
29,0.013,0,-1,0
30,0.30658,1,0,0
31,0.07237391304347826,0,-1,0
32,0.61036,1,2,1
33,0.93036,1,0,0
34,0.021858,0,-2,0
35,0.027418,0,-2,0
36,0.18915625,0,-1,0
37,0.6660821428571428,1,0,0
38,0.2509,1,0,0
39,0.0,1,1,1
40,0.0017785714285714286,0,-1,0
41,0.6074111111111111,1,0,0
42,0.9645857142857143,1,0,0
43,0.1877,1,0,0
44,0.4250285714285714,1,0,0
45,0.473175,1,0,0
46,0.0,0,-2,1
47,0.7014,1,0,1
48,0.029753333333333333,1,0,1
49,0.05895,0,-1,0
50,0.87235,1,0,0
51,0.5291714285714286,1,1,1
52,0.61559,1,0,0
53,0.04343548387096774,0,-2,0
54,0.2300111111111111,1,1,0
55,0.30816,1,2,0
56,0.00381,0,-2,0
57,0.09103333333333333,1,0,0
58,0.9771444444444445,1,0,0
59,0.007935,0,-1,0
60,1.000335,1,0,0
61,0.045696,1,0,1
62,1.0114285714285713,1,0,0
63,0.49974,1,2,1
64,0.57436,1,0,1
65,0.0007615384615384615,0,-1,0
66,0.762595,0,-2,1
67,0.2097,1,2,1
68,0.0014285714285714286,1,2,0
69,0.0,1,1,0
70,0.92825,1,2,0
71,0.00975,0,-1,0
72,0.182084375,1,2,1
73,0.04538,0,-1,0
74,0.0,1,1,0
75,0.00896470588235294,0,-1,0
76,0.73095,1,0,0
77,0.85676,0,-1,0
78,0.00097,0,-1,0
79,0.9462333333333334,1,0,1
80,0.0,1,1,1
81,0.35160425531914896,1,0,0
82,0.06503055555555555,1,0,0
83,0.4387333333333333,1,0,1
84,0.3289875,1,0,0
85,0.97818,1,0,0
86,0.812675,1,0,0
87,0.0010833333333333333,0,-1,1
88,0.0239125,1,0,0
89,0.6254846153846154,1,0,0
90,0.42915,1,2,0
91,0.6909,1,2,1
92,0.02687142857142857,0,-1,0
93,0.0,0,-2,0
94,0.0055,0,-1,0
95,0.7608,1,0,0
96,0.9302777777777778,1,0,0
97,0.011019444444444445,0,-1,0
98,0.5733933333333333,1,0,0
99,0.37444,1,0,0
100,0.89865,1,0,1
101,0.0048,0,-2,0
102,0.0,0,-2,0
103,0.8793104166666666,1,0,0
104,0.89396,1,0,1
105,0.94475,1,2,0
106,0.07971428571428571,0,-1,0
107,0.07635,0,-1,0
108,0.002037142857142857,0,-1,0
109,1.3187538461538462,1,0,0
110,0.0,1,1,0
111,0.32084545454545454,1,0,0
112,0.26488,1,0,0
113,0.48454642857142854,1,2,0
114,0.52128,1,0,0
115,0.3803,1,0,0
116,0.6066333333333334,0,-1,1
117,0.0013583333333333334,0,-1,0
118,0.1753625,1,2,1
119,0.04915,0,-1,0
120,0.20939166666666667,1,0,0
121,0.92008,1,2,1
122,0.0,1,1,1
123,0.0,1,1,0
124,0.983841935483871,1,2,1
125,0.95575,1,0,0
